batch,count,first_id,last_id,qa_sheet,source_policy
1,25,bio_0001,bio_0025,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,source-backed QA sheet; no programmatic illustration drawing
2,25,bio_0026,bio_0050,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,source-backed QA sheet; no programmatic illustration drawing
3,25,bio_0051,bio_0075,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_03.png,source-backed QA sheet; no programmatic illustration drawing
4,25,bio_0076,bio_0100,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_04.png,source-backed QA sheet; no programmatic illustration drawing
5,25,bio_0101,bio_0125,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_05.png,source-backed QA sheet; no programmatic illustration drawing
6,25,bio_0126,bio_0150,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_06.png,source-backed QA sheet; no programmatic illustration drawing
7,25,bio_0151,bio_0175,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_07.png,source-backed QA sheet; no programmatic illustration drawing
8,25,bio_0176,bio_0200,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_08.png,source-backed QA sheet; no programmatic illustration drawing
9,25,bio_0201,bio_0225,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_09.png,source-backed QA sheet; no programmatic illustration drawing
10,25,bio_0226,bio_0250,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_10.png,source-backed QA sheet; no programmatic illustration drawing
11,25,bio_0251,bio_0275,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_11.png,source-backed QA sheet; no programmatic illustration drawing
12,25,bio_0276,bio_0300,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_12.png,source-backed QA sheet; no programmatic illustration drawing
13,25,bio_0301,bio_0325,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_13.png,source-backed QA sheet; no programmatic illustration drawing
14,25,bio_0326,bio_0350,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_14.png,source-backed QA sheet; no programmatic illustration drawing
15,25,bio_0351,bio_0375,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_15.png,source-backed QA sheet; no programmatic illustration drawing
16,25,bio_0376,bio_0400,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_16.png,source-backed QA sheet; no programmatic illustration drawing
17,25,bio_0401,bio_0425,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_17.png,source-backed QA sheet; no programmatic illustration drawing
18,25,bio_0426,bio_0450,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_18.png,source-backed QA sheet; no programmatic illustration drawing
19,25,bio_0451,bio_0475,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_19.png,source-backed QA sheet; no programmatic illustration drawing
20,25,bio_0476,bio_0500,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_20.png,source-backed QA sheet; no programmatic illustration drawing
21,25,bio_0501,bio_0525,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_21.png,source-backed QA sheet; no programmatic illustration drawing
22,25,bio_0526,bio_0550,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_22.png,source-backed QA sheet; no programmatic illustration drawing
23,25,bio_0551,bio_0575,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_23.png,source-backed QA sheet; no programmatic illustration drawing
24,25,bio_0576,bio_0600,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_24.png,source-backed QA sheet; no programmatic illustration drawing
25,25,bio_0601,bio_0625,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_25.png,source-backed QA sheet; no programmatic illustration drawing
26,25,bio_0626,bio_0650,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_26.png,source-backed QA sheet; no programmatic illustration drawing
27,25,bio_0651,bio_0675,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_27.png,source-backed QA sheet; no programmatic illustration drawing
28,25,bio_0676,bio_0700,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_28.png,source-backed QA sheet; no programmatic illustration drawing
29,25,bio_0701,bio_0725,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_29.png,source-backed QA sheet; no programmatic illustration drawing
30,25,bio_0726,bio_0750,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_30.png,source-backed QA sheet; no programmatic illustration drawing
31,25,bio_0751,bio_0775,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_31.png,source-backed QA sheet; no programmatic illustration drawing
32,25,bio_0776,bio_0800,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_32.png,source-backed QA sheet; no programmatic illustration drawing
33,25,bio_0801,bio_0825,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_33.png,source-backed QA sheet; no programmatic illustration drawing
34,25,bio_0826,bio_0850,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_34.png,source-backed QA sheet; no programmatic illustration drawing
35,25,bio_0851,bio_0875,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_35.png,source-backed QA sheet; no programmatic illustration drawing
36,25,bio_0876,bio_0900,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_36.png,source-backed QA sheet; no programmatic illustration drawing
37,25,bio_0901,bio_0925,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_37.png,source-backed QA sheet; no programmatic illustration drawing
38,25,bio_0926,bio_0950,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_38.png,source-backed QA sheet; no programmatic illustration drawing
39,25,bio_0951,bio_0975,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_39.png,source-backed QA sheet; no programmatic illustration drawing
40,25,bio_0976,bio_1000,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_40.png,source-backed QA sheet; no programmatic illustration drawing
